******************************************************************
* Optimized Ganymede Orbiter Trajectory (60s step)
******************************************************************
Title: Ganymede Orbiter Analysis
Planet: Jupiter
Coordinates: PEI
Columns: JDCT, X, Y, Z
Format: CSV
******************************************************************
$$BEGIN
2460311.304861111, 808555.563079, -631925.310119, -288274.338588
2460311.305555556, 808907.389543, -631479.255705, -288131.488591
2460311.306250000, 809261.591926, -631032.955372, -287990.975655
2460311.306944444, 809618.251827, -630586.409568, -287852.707292
2460311.307638889, 809977.447651, -630139.618750, -287716.588271
2460311.308333333, 810339.254521, -629692.583390, -287582.520730
2460311.309027778, 810703.744184, -629245.303972, -287450.404289
2460311.309722222, 811070.984930, -628797.780990, -287320.136164
2460311.310416667, 811441.041508, -628350.014951, -287191.611286
2460311.311111111, 811813.975053, -627902.006371, -287064.722428
2460311.311805556, 812189.843009, -627453.755780, -286939.360323
2460311.312500000, 812568.699065, -627005.263714, -286815.413796
2460311.313194444, 812950.593088, -626556.530723, -286692.769890
2460311.313888889, 813335.571064, -626107.557363, -286571.314002
2460311.314583333, 813723.675045, -625658.344202, -286450.930011
